artist,track,album,track_id
John Denver,"Take Me Home, Country Roads - Original Version","Poems, Prayers and Promises",1YYhDizHx7PnDhAhko6cDS
Maroon 5,Girls Like You,Red Pill Blues (Deluxe),3j36w2RY7uyBFWkcG8MKmB
The White Stripes,Seven Nation Army,Elephant,3dPQuX8Gs42Y7b454ybpMR
"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),6V1bu6o1Yo5ZXnsCJU8Ovk
Journey,Don't Stop Believin' (2022 Remaster),Escape (2022 Remaster),5RKQ5NdjSh2QzD4MaunT91
"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),No.6 Collaborations Project,70eFcWOvlMObDhURTqT4Fv
"The Weeknd, Daft Punk",I Feel It Coming,Starboy,5GXAXm5YOmYT0kL5jHvYBt
Ava Max,Sweet but Psycho,Heaven & Hell,7DnAm9FOTWE3cUvso43HhI
Dua Lipa,New Rules,Dua Lipa (Complete Edition),2xJCMIJfcNYDc5iR0sAm2O
Ava Max,So Am I,Heaven & Hell,2Xnv3GntqbBH1juvUYSpHG
Tones And I,Dance Monkey,Welcome To The Madhouse (Deluxe),2N8m6CYs74qQO4mjVcXO30
"Billie Eilish, Justin Bieber",bad guy (with Justin Bieber),bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT
OneRepublic,Good Life,Waking Up,6OtCIsQZ64Vs1EbzztvAv4
Jonas Brothers,Only Human,Happiness Begins,0DiDStADDVh3SvAsoJAFMk
The Hope County Choir,Keep Your Rifle by Your Side - Choir Version,Far Cry 5 Presents: When the World Falls (Original Game Soundtrack),5ARVelhkMyLfWaUKmjjK4p
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito - Remix,Despacito Feat. Justin Bieber (Remix),6rPO02ozF3bM7NnOV4h6s2
"Luis Fonsi, Daddy Yankee",Despacito,VIDA,6habFhsOp2NvshLv26DqMb
Dick Dale,Misirlou,Wanna Surf?,3OnCnEWgy79xR5pr2kv4TX
Julia Michaels,Issues,Nervous System,7vu0JkJh0ldukEYbTVcqd0
"Hailee Steinfeld, Grey, Zedd",Starving,Starving,4Ce37cRWvM1vIGGynKcs22
Demi Lovato,Sorry Not Sorry,Tell Me You Love Me,0yvPEnB032fojLfVluFjUv
"Marshmello, Anne-Marie",FRIENDS,FRIENDS,08bNPGLD8AhKpnnERrAc6G
Charlie Puth,Attention,Voicenotes,5cF0dROlMOK5uNZtivgu50
"Clean Bandit, Zara Larsson",Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),72gv4zhNvRVdQA0eOenCal
Charlie Puth,How Long,Voicenotes,6wmAHw1szh5RCKSRjiXhPe
LAUV,I Like Me Better,I met you when I was 18. (the playlist),0EcQcdcbQeVJn9fknj44Be
One Direction,Drag Me Down,Made In The A.M. (Deluxe Edition),2K87XMYnUMqLcX3zvtAF4G
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,7FGq80cy8juXBCD2nrqdWU
"The Chainsmokers, Coldplay",Something Just Like This,Memories...Do Not Open,6RUKPb4LETWmmr3iAEQktW
The Beach Boys,I Get Around (Mono),All Summer Long (Mono & Stereo),3v9xlH6BpmRbqL7hgNJhfT
Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,1mea3bSkSGXuIRvnydlB5b
